id_ponto	category	TITULO
1	Hinos	HINO DA UMBANDA
2	Hinos	É um hino de glória que fala
3	Hinos	HINO DO UMBANDISTA BRASILEIRO
4	Hinos	ASSOC. DOS UMBANDISTAS DE CANOAS
5	Hinos	HINO DA TURMA “FÉ, ESPERANÇA E CARIDADE”
6	Hinos	HINO DA TERREIRA DE MÃE MARIA
7	Hinos	TEMPLO DE UMBANDA PAI OXALÁ FRATERNIDADE OGUM DE RONDA
8	Oxala	#OXALÁ
9	Oxala	Abre a porta Oh gente
10	Oxala	Lá vem jesus
11	Oxala	Jesus, estrela guia
12	Oxala	Entrei na mata virgem
13	Oxala	Bendito e louvado seja
14	Oxala	Saravá, saravá, saravá
15	Oxala	Oxalá mandou,
16	Oxala	Eu faço a Zambi minha oração,
17	Oxala	Um novo dia vai nascer
18	Oxala	Foi Zambi que criou o mundo
19	Iemanja	#Iemanjá
20	Iemanja	Joga flores no mar | bis
21	Iemanja	Pescador pegou veleiro e foi
22	Iemanja	Óh Iemanja, óh Iemanja
23	Iemanja	No murmúrio das ondas
24	Iemanja	Navio negreiro no meio do mar
25	Iemanja	Foi na areia, foi na areia
26	Iemanja	Mãe Sereia tem o seu manto de ouro
27	Iemanja	Sentada em cima de uma pedra
28	Iemanja	Eram duas ventarolas, duas ventarolas
29	Iemanja	Dia 8 de Dezembro dia de festa no mar
30	Iemanja	Estava na beira da praia
31	Iemanja	Jandira, Jandira
32	Iemanja	Iara
33	Iemanja	Iara, Iara tem pena de nós tem dó
34	Iemanja	Quem quer viver sobre a terra
35	Iemanja	Atraca Atraca quem vem na onda é Nanã
36	Iemanja	És nossa mãe Óh Iemanjá
37	Iemanja	A Iemanjá não é uma sereia
38	Iemanja	Joga flores no mar
39	Iemanja	Salve Iemanjá, salve Oxum e Nanã
40	Iemanja	Saravá sereia linda
41	Iemanja	Maria nossa mãe extremosa
42	Iemanja	Oh Iemanjá, Oh Iemanjá
43	Iemanja	'
44	Iemanja	Oh Virgem Maria
45	Iemanja	Iemanjá é a rainha do mar
46	Iemanja	Eu fiz um pedido a sublime Iemanjá
47	Iemanja	Eu vi sentada na areia
48	Iemanja	Desce oh mãe do teu reino dourado
49	Iemanja	Sete Ondas
50	Iemanja	Ele é do mar, ele é caboclo flecheiro
51	Iemanja	Galera está no mar, ai vamos todos remar
52	Iemanja	Quando a lua surgir
53	Iemanja	Saravá Oxalá e Iemanjá
54	Iemanja	Do manto de Nossa Senhora
55	Iemanja	Descarrega, descarrega
56	Iemanja	Baixai, baixai,
57	Iemanja	E a marola lá do mar
58	Iemanja	Marinheiro
59	Iemanja	Cabocla das Sete Ondas
60	Iemanja	Abiguá
61	Iemanja	Tarimá
62	Oxum	OXUM
63	Oxum	Mamãe Oxum mamãe Oxum lá do infinito
64	Oxum	candura
65	Oxum	Mamãe Oxum salve a sua cachoeira
66	Oxum	Eu vi mamãe Oxum na cachoeira
67	Oxum	Junco-Verde
68	Oxum	A lua vem surgindo
69	Oxum	Coração de mãe
70	Oxossi	#Oxóssi
71	Oxossi	Na minha aldeia eu sou caboclo
72	Oxossi	Que bombardeio que se deu lá na aldeia
73	Oxossi	Caboclo roxo, da pele morena
74	Oxossi	Foi Zambi quem criou o mundo
75	Oxossi	Atira, atira
76	Oxossi	A mata estava escura
77	Oxossi	Um diadema lá no céu brilhou
78	Oxossi	Eu estava na mata virgem
79	Oxossi	Daodé
80	Oxossi	Eu vi os caboclos de Oxóssi
81	Oxossi	Eu vou pedir licença pra Oxóssi
82	Oxossi	Araguassú
83	Oxossi	Araguassú que vem de aruanda
84	Oxossi	Arranca Toco
85	Oxossi	Lá na mata é só caboclo
86	Oxossi	Caboclo Arranca-Toco
87	Oxossi	Ubirajara
88	Oxossi	Em cima de uma pedra branca
89	Oxossi	Pena Branca
90	Oxossi	Como é lindo o romper do dia
91	Oxossi	O senhor pena branca, E ô
92	Oxossi	Caboclo Aimoré
93	Oxossi	Pena Verde
94	Oxossi	Corre, corre meu veado
95	Oxossi	Águia Branca
96	Oxossi	Sete Encruzilhadas
97	Oxossi	Caboclo Arruda
98	Oxossi	Sete-Flechas
99	Oxossi	Paranga
100	Oxossi	Salve a falange do Caboclo Sete Flechas
101	Oxossi	Atrás daquela serra tem sete coqueiros
102	Oxossi	Tupayba
103	Oxossi	Tupinambá
104	Oxossi	Tupinambá, Tupinambá
105	Oxossi	Os filhos de umbanda
106	Oxossi	Lá na mata tem guiné
107	Oxossi	Tupimirim
108	Oxossi	Ele vem montado
109	Oxossi	Tupimirim, êh, êh Tupinambá
110	Oxossi	Urubatã
111	Oxossi	Ubiratã
112	Oxossi	Jurema
113	Oxossi	Jurema, Oh Jurema, Jurema
114	Oxossi	Entrei na mata virgem
115	Oxossi	Quem não conhece a linda cabocla Jurema
116	Oxossi	Jurema do juremeiro
117	Oxossi	Jurema do juremeiro
118	Oxossi	Ai Jureminha, ai Jurema
119	Oxossi	Ai Jureminha, ai Jurema
120	Oxossi	Jurema, sua flecha brilhou Jurema
121	Oxossi	Como são lindos os cabelos de Jurema
122	Oxossi	É tão bonita a cabocla Jurema
123	Oxossi	Eu vim da mata virgem
124	Oxossi	Quem é de Aruanda, não é de aruê
125	Oxossi	A lua veio iluminou a mata virgem
126	Oxossi	Jurema é flecheira
127	Oxossi	Companheiros de Jurema
128	Oxossi	O vento está soprando nas matas
129	Oxossi	A mata estava tão linda
130	Oxossi	Eh Juremê, Eh Jurema
131	Oxossi	Eu me perdi mamãe
132	Oxossi	arrebol
133	Oxossi	Eu vou chamar a corrente de Jurema
134	Oxossi	Na mata eu vi o sabiá cantar
135	Oxossi	Caboclo Arari
136	Oxossi	Caboclo Ararijara
137	Oxossi	Caboclo Flecheiro
138	Xango	XANGÔ
139	Xango	Meu pai Xangô é rei lá na pedreira
140	Xango	Xangô do fogo
141	Xango	Cachoeira da mata virgem
142	Xango	Pedra rolou pai Xangô
143	Xango	Por de trás daquela serra
144	Xango	Quem rola pedra na pedreira
145	Xango	Kaô, kaô Xangô
146	Xango	Supremo da Montanha
147	Xango	Ribombo
148	Xango	Kaô Cabecilê
149	Xango	Ele bradou na aldeia
150	Xango	Sua machada é de ouro
151	Xango	Corisco
152	Xango	Cariri
153	Xango	Kenguelê, kenguelê Xangô
154	Xango	Kaô Cabecilê
155	Xango	minou
156	Xango	Bambaruê
157	Xango	Eu fui lá na mata buscar minha guia
158	Xango	Bate, bate no tambor
159	Xango	Xangô ô, Xangô ô
160	Xango	A lua vem nascendo no horizonte
161	Xango	Sao Miguel Arcanjo
162	Xango	Quero andar de valor em valor
163	Xango	Xangô e Oxóssi
164	Xango	Xangô e Ogum
165	Xango	Treme Terra
166	Xango	Em cima de uma pedra branca
167	Xango	Quando a lua surgir
168	Xango	Caboclo do Vento
