"id";"category";"title"
;"Oxum";
;;
;"Oxum";
;;
;;
;;
;;
;;
;;
;;
;"Oxalá";
;;
;;
;;
;;
;;
;;
;;
;"Ogum";
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;"Pretos Velhos";
;;
;;
;;
;"Pretos Velhos";
;;
;;
;;
;;
;"Oxalá";
;"Oriente";
;"Pretos Velhos";
;;
;"Pretos Velhos";
;;
;;
;"Pretos Velhos";
;;
;;
;;
;;
;;
;"Oxalá";
;;
;"Ogum";
;;
;;
;;
;;
;;
;;
;;
;"Ogum";
;;
;;
;;
;"Oxóssi";
;"Iemanjá";
;;
;;
;"Ogum";
;"Ogum";
;;
;;
;;
;;
;;
;;
;;
;"Iemanjá";
;;
;;
;;
;;
;;
;;
;;
;"Ogum";
;;
;;
;;
;;
;;
;"Ogum";
;;
;;
;;
;;
;;
;;
;;
;"Oxóssi";
;"Oxóssi";
;"Oxalá";
;;
;;
;;
;"Oxum";
;;
;;
;"Oxóssi";
;"Pretos Velhos";
;"Oxóssi";
;;
;;
;;
;"Pretos Velhos";
;;
;;
;;
;;
;"Oxalá";
;"Oxalá";
;;
;"Oxalá";
;"Oxalá";
;;
;;
;;
;"Oxalá";
;;
;;
;;
;;
;"Oxalá";
;;
;;
;"Pretos Velhos";
;"Pretos Velhos";
;;
;;
;;
;;
;;
;;
;"Oxóssi";
;;
;"Pretos Velhos";
;;
;"Pretos Velhos";
;;
;"Pretos Velhos";
;"Oxalá";
;"Pretos Velhos";
;;
;"Pretos Velhos";
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;"Ogum";
;;
;;
;;
;;
;;
;"Oxalá";
;"Oxalá";
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;"Pretos Velhos";
;;
;;
;"Pretos Velhos";
;;
;"Oxalá";
;;
;"Oxóssi";
;;
;;
;;
;;
;;
;;
;;
;"Oxóssi";
;"Oxóssi";
;;
;"Oxóssi";
;;
;;
;;
;;
;;
;;
;;
;;
;;
;"Oxalá";
;;
;;
;;
;"Ogum";
;;
;;
;;
;;
;;
;;
;"Oxalá";
;;
;;
;;
;;
;;
;;
;;
;"Oxalá";
;"Oxóssi";
;;
;;
;;
;"Oxalá";
;;
;;
;;
;"Oxum";
;;
;;
;;
;;
;"Iemanjá";
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;"Oxalá";
;;
;;
;;
;;
;;
;;
;;
;"Oxalá";
;;
;"Oxalá";
;;
;;"'"
;;
;"Iemanjá";
;"Iemanjá";
;;
;;
;;
;;
;"Oxalá";
;;
;"Iemanjá";
;"Iemanjá";
;"Iemanjá";
;;
;;
;;
;;
;;
;;
;;
;"Oxalá";
;;
;;
;;
;;
;;
;;
;"Oxóssi";
;;
;"Xangô";
;;
;;
;;
;"Oxalá";
;"Oxóssi";
;"Oxóssi";
;;
;;
;;
;;
;;
;;
;;
;"Xangô";
;;
;;
;;
;;
;"Xangô";
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;"Iansã";
;;
;;
;;
;;
;;
;"Ogum";
;"Oxóssi";
;;
;;
;;
;;
;;
;"Iemanjá";
;"Oxóssi";
;"Oxóssi";
;"Oxalá";
;;
;;
;;
;"Oxóssi";
;;
;"Oxóssi";
;;
;"Oxóssi";
;"Pretos Velhos";
;;
;;
;;
;;
;;
;;
;;
;"Oxóssi";
;"Oxalá";
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;"Xangô";
;;
;;
;;
;;
;;
;;
;;
;;
;"Oxóssi";
;"Iemanjá";
;"Oxóssi";
;;
;"Xangô";
;"Oxóssi";
;"Oxóssi";
;"Oxalá";
